1, Bachelors, Never-married, Not-in-family
3634, 7th-8th, Widowed, Not-in-family
3635, HS-grad, Divorced, Not-in-family
3636, 7th-8th, Married-civ-spouse, Husband
3637, 12th, Married-civ-spouse, Husband
3638, Some-college, Divorced, Unmarried
3639, HS-grad, Never-married, Not-in-family
3640, Bachelors, Married-civ-spouse, Husband
3641, Bachelors, Never-married, Not-in-family
3642, Assoc-acdm, Never-married, Unmarried
3643, 10th, Married-civ-spouse, Husband
3644, Assoc-voc, Married-civ-spouse, Husband
3645, 9th, Married-civ-spouse, Husband
3646, HS-grad, Never-married, Own-child
3647, HS-grad, Married-civ-spouse, Wife
3648, Bachelors, Married-civ-spouse, Wife
3649, Bachelors, Never-married, Not-in-family
3650, Some-college, Never-married, Own-child
3651, HS-grad, Never-married, Own-child
3652, Bachelors, Married-civ-spouse, Husband
3653, Masters, Married-civ-spouse, Husband
3654, HS-grad, Divorced, Own-child
3655, HS-grad, Married-civ-spouse, Husband
3656, Prof-school, Married-civ-spouse, Husband
3657, HS-grad, Married-civ-spouse, Husband
3658, Bachelors, Married-civ-spouse, Husband
3659, Some-college, Never-married, Own-child
3660, HS-grad, Married-civ-spouse, Husband
3661, HS-grad, Married-civ-spouse, Husband
3662, Some-college, Never-married, Not-in-family
3663, HS-grad, Never-married, Not-in-family
3664, HS-grad, Married-civ-spouse, Husband
3665, Bachelors, Married-civ-spouse, Husband
3666, Bachelors, Never-married, Not-in-family
3667, Bachelors, Married-civ-spouse, Husband
3668, Masters, Divorced, Unmarried
3669, 5th-6th, Married-civ-spouse, Husband
3670, Some-college, Married-civ-spouse, Husband
3671, HS-grad, Divorced, Own-child
3672, 11th, Married-civ-spouse, Husband
3673, Masters, Married-civ-spouse, Husband
3674, Assoc-acdm, Married-civ-spouse, Husband
3675, Bachelors, Married-civ-spouse, Husband
3676, 5th-6th, Never-married, Other-relative
3677, HS-grad, Married-civ-spouse, Husband
3678, Masters, Divorced, Not-in-family
3679, Bachelors, Married-civ-spouse, Husband
3680, 11th, Never-married, Own-child
3681, Bachelors, Married-civ-spouse, Husband
3682, HS-grad, Never-married, Own-child
3683, Some-college, Married-civ-spouse, Husband
3684, HS-grad, Divorced, Not-in-family
3685, HS-grad, Married-civ-spouse, Husband
3686, HS-grad, Married-civ-spouse, Husband
3687, HS-grad, Never-married, Other-relative
3688, 7th-8th, Never-married, Other-relative
3689, Some-college, Divorced, Not-in-family
3690, HS-grad, Married-civ-spouse, Husband
3691, HS-grad, Married-civ-spouse, Husband
3692, HS-grad, Married-civ-spouse, Husband
3693, HS-grad, Married-civ-spouse, Husband
3694, HS-grad, Married-civ-spouse, Wife
3695, Some-college, Married-civ-spouse, Husband
3696, Some-college, Divorced, Unmarried
3697, 9th, Never-married, Other-relative
3698, HS-grad, Married-civ-spouse, Husband
3699, Some-college, Married-civ-spouse, Husband
3700, HS-grad, Divorced, Not-in-family
3701, Some-college, Married-civ-spouse, Husband
3702, Some-college, Married-civ-spouse, Husband
3703, HS-grad, Never-married, Not-in-family
3704, Some-college, Married-civ-spouse, Husband
3705, Masters, Divorced, Not-in-family
3706, 11th, Married-civ-spouse, Husband
3707, Some-college, Never-married, Other-relative
3708, Some-college, Married-civ-spouse, Husband
3709, HS-grad, Married-civ-spouse, Husband
3710, Bachelors, Married-civ-spouse, Wife
3711, HS-grad, Never-married, Not-in-family
3712, Some-college, Married-civ-spouse, Husband
3713, Assoc-voc, Never-married, Own-child
3714, HS-grad, Divorced, Own-child
3715, Bachelors, Married-civ-spouse, Other-relative
3716, Some-college, Never-married, Own-child
3717, Bachelors, Married-civ-spouse, Husband
3718, Bachelors, Never-married, Own-child
3719, Some-college, Never-married, Own-child
3720, Some-college, Never-married, Own-child
3721, HS-grad, Married-civ-spouse, Husband
3722, Bachelors, Married-civ-spouse, Husband
3723, Some-college, Never-married, Unmarried
3724, HS-grad, Married-civ-spouse, Husband
3725, Masters, Married-civ-spouse, Husband
3726, Some-college, Never-married, Own-child
3727, HS-grad, Married-civ-spouse, Wife
3728, Assoc-voc, Married-civ-spouse, Wife
3729, 9th, Married-civ-spouse, Husband
3730, HS-grad, Never-married, Unmarried
3731, Assoc-voc, Never-married, Not-in-family
3732, Some-college, Married-civ-spouse, Husband
3733, HS-grad, Married-civ-spouse, Husband
3734, Masters, Married-civ-spouse, Wife
3735, HS-grad, Never-married, Own-child
3736, Some-college, Married-civ-spouse, Husband
3737, Assoc-voc, Married-civ-spouse, Wife
3738, 11th, Never-married, Other-relative
3739, HS-grad, Married-civ-spouse, Husband
3740, 9th, Married-civ-spouse, Husband
3741, HS-grad, Married-civ-spouse, Husband
3742, HS-grad, Married-civ-spouse, Husband
3743, Some-college, Divorced, Not-in-family
3744, HS-grad, Divorced, Not-in-family
3745, HS-grad, Never-married, Own-child
3746, HS-grad, Married-civ-spouse, Husband
3747, HS-grad, Separated, Unmarried
3748, Bachelors, Divorced, Unmarried
3749, Some-college, Married-civ-spouse, Husband
3750, Masters, Married-civ-spouse, Husband
3751, Some-college, Divorced, Not-in-family
3752, HS-grad, Married-civ-spouse, Husband
3753, HS-grad, Married-civ-spouse, Husband
3754, Bachelors, Never-married, Not-in-family
3755, Bachelors, Married-civ-spouse, Husband
3756, HS-grad, Never-married, Other-relative
3757, Bachelors, Divorced, Unmarried
3758, Some-college, Married-civ-spouse, Wife
3759, HS-grad, Married-civ-spouse, Husband
3760, 7th-8th, Married-civ-spouse, Husband
3761, Bachelors, Married-civ-spouse, Husband
3762, Prof-school, Never-married, Not-in-family
3763, Some-college, Never-married, Not-in-family
3764, Assoc-voc, Never-married, Not-in-family
3765, Some-college, Never-married, Own-child
3766, Assoc-acdm, Divorced, Unmarried
3767, HS-grad, Married-civ-spouse, Husband
3768, Some-college, Never-married, Unmarried
3769, Bachelors, Married-civ-spouse, Husband
3770, HS-grad, Never-married, Not-in-family
3771, Bachelors, Never-married, Unmarried
3772, HS-grad, Divorced, Own-child
3773, Assoc-voc, Married-civ-spouse, Husband
3774, Some-college, Widowed, Not-in-family
3775, Some-college, Married-civ-spouse, Husband
3776, Some-college, Never-married, Own-child
3777, Some-college, Divorced, Not-in-family
3778, Some-college, Never-married, Not-in-family
3779, Some-college, Married-civ-spouse, Husband
3780, HS-grad, Divorced, Unmarried
3781, Some-college, Divorced, Unmarried
3782, HS-grad, Never-married, Not-in-family
3783, HS-grad, Widowed, Not-in-family
3784, HS-grad, Married-civ-spouse, Husband
3785, HS-grad, Married-civ-spouse, Husband
3786, Some-college, Never-married, Not-in-family
3787, Assoc-acdm, Married-civ-spouse, Husband
3788, Some-college, Married-AF-spouse, Husband
3789, HS-grad, Married-civ-spouse, Husband
3790, Bachelors, Married-civ-spouse, Husband
3791, Bachelors, Divorced, Not-in-family
3792, HS-grad, Never-married, Own-child
3793, Assoc-acdm, Married-civ-spouse, Husband
3794, Some-college, Never-married, Own-child
3795, Some-college, Never-married, Not-in-family
3796, 7th-8th, Married-civ-spouse, Husband
3797, HS-grad, Never-married, Not-in-family
3798, Bachelors, Married-civ-spouse, Husband
3799, 10th, Never-married, Other-relative
3800, 11th, Married-civ-spouse, Husband
3801, 10th, Married-civ-spouse, Husband
3802, HS-grad, Never-married, Own-child
3803, Some-college, Never-married, Own-child
3804, HS-grad, Never-married, Own-child
3805, 11th, Never-married, Other-relative
3806, Some-college, Never-married, Own-child
3807, Prof-school, Married-civ-spouse, Husband
3808, Bachelors, Never-married, Own-child
3809, Bachelors, Married-civ-spouse, Husband
3810, Some-college, Married-civ-spouse, Husband
3811, Bachelors, Never-married, Not-in-family
3812, Some-college, Divorced, Unmarried
3813, HS-grad, Married-civ-spouse, Husband
3814, HS-grad, Divorced, Not-in-family
3815, Bachelors, Never-married, Not-in-family
3816, Some-college, Never-married, Own-child
3817, Masters, Married-civ-spouse, Other-relative
3818, Masters, Married-civ-spouse, Husband
3819, Some-college, Married-civ-spouse, Husband
3820, Some-college, Never-married, Not-in-family
3821, Bachelors, Never-married, Unmarried
3822, Assoc-voc, Married-civ-spouse, Wife
3823, HS-grad, Divorced, Not-in-family
3824, Assoc-acdm, Separated, Not-in-family
3825, Some-college, Never-married, Own-child
3826, HS-grad, Never-married, Own-child
3827, 10th, Married-civ-spouse, Husband
3828, Some-college, Married-civ-spouse, Husband
3829, Some-college, Never-married, Not-in-family
3830, Masters, Married-civ-spouse, Husband
3831, HS-grad, Married-civ-spouse, Husband
3832, Bachelors, Married-civ-spouse, Husband
3833, 11th, Married-civ-spouse, Husband
3834, Some-college, Married-civ-spouse, Husband
3835, Bachelors, Never-married, Not-in-family
3836, HS-grad, Never-married, Not-in-family
3837, Prof-school, Married-civ-spouse, Husband
3838, HS-grad, Divorced, Not-in-family
3839, Some-college, Married-civ-spouse, Husband
3840, HS-grad, Never-married, Not-in-family
3841, Assoc-voc, Married-civ-spouse, Husband
3842, HS-grad, Separated, Unmarried
3843, Some-college, Divorced, Unmarried
3844, Some-college, Never-married, Own-child
3845, Bachelors, Never-married, Own-child
3846, Bachelors, Married-civ-spouse, Husband
3847, Some-college, Divorced, Not-in-family
3848, HS-grad, Married-civ-spouse, Wife
3849, Some-college, Separated, Unmarried
3850, Some-college, Never-married, Not-in-family
3851, Assoc-voc, Married-civ-spouse, Husband
3852, Some-college, Never-married, Own-child
3853, Some-college, Never-married, Own-child
3854, 12th, Never-married, Not-in-family
3855, HS-grad, Married-civ-spouse, Husband
3856, HS-grad, Never-married, Not-in-family
3857, Some-college, Never-married, Not-in-family
3858, Some-college, Divorced, Not-in-family
3859, Bachelors, Never-married, Unmarried
3860, HS-grad, Divorced, Unmarried
3861, Bachelors, Married-civ-spouse, Husband
3862, HS-grad, Divorced, Unmarried
3863, Assoc-voc, Married-civ-spouse, Husband
3864, Assoc-voc, Married-civ-spouse, Husband
3865, HS-grad, Married-civ-spouse, Husband
3866, HS-grad, Married-civ-spouse, Wife
3867, Some-college, Married-civ-spouse, Husband
3868, HS-grad, Married-civ-spouse, Husband
3869, Assoc-acdm, Never-married, Not-in-family
3870, Masters, Never-married, Not-in-family
3871, 10th, Married-civ-spouse, Husband
3872, HS-grad, Married-civ-spouse, Husband
3873, HS-grad, Married-civ-spouse, Husband
3874, HS-grad, Never-married, Not-in-family
3875, Some-college, Never-married, Own-child
3876, 7th-8th, Separated, Not-in-family
3877, 7th-8th, Married-civ-spouse, Husband
3878, HS-grad, Divorced, Unmarried
3879, Assoc-voc, Married-civ-spouse, Husband
3880, 5th-6th, Married-civ-spouse, Wife
3881, Some-college, Married-civ-spouse, Husband
3882, HS-grad, Widowed, Not-in-family
3883, Some-college, Married-civ-spouse, Husband
3884, 10th, Married-civ-spouse, Husband
3885, Masters, Married-civ-spouse, Husband
3886, HS-grad, Divorced, Own-child
3887, Assoc-acdm, Married-civ-spouse, Husband
3888, Bachelors, Married-civ-spouse, Wife
3889, HS-grad, Separated, Unmarried
3890, Assoc-voc, Married-civ-spouse, Husband
3891, Some-college, Divorced, Own-child
3892, HS-grad, Never-married, Own-child
3893, HS-grad, Married-civ-spouse, Husband
3894, HS-grad, Divorced, Not-in-family
3895, HS-grad, Married-civ-spouse, Husband
3896, Some-college, Married-civ-spouse, Wife
3897, Some-college, Divorced, Unmarried
3898, Some-college, Never-married, Own-child
3899, HS-grad, Never-married, Own-child
3900, HS-grad, Never-married, Other-relative
3901, Bachelors, Married-civ-spouse, Husband
3902, Some-college, Never-married, Own-child
3903, Some-college, Never-married, Own-child
3904, HS-grad, Never-married, Not-in-family
3905, 11th, Married-civ-spouse, Husband
3906, 7th-8th, Married-civ-spouse, Husband
3907, Bachelors, Married-civ-spouse, Husband
3908, HS-grad, Never-married, Not-in-family
3909, Bachelors, Married-civ-spouse, Husband
3910, HS-grad, Married-civ-spouse, Husband
3911, HS-grad, Divorced, Unmarried
3912, HS-grad, Married-civ-spouse, Husband
3913, Bachelors, Married-civ-spouse, Husband
3914, Some-college, Married-civ-spouse, Husband
3915, 7th-8th, Married-civ-spouse, Husband
3916, HS-grad, Married-civ-spouse, Husband
3917, Bachelors, Never-married, Not-in-family
3918, Some-college, Never-married, Own-child
3919, HS-grad, Married-civ-spouse, Husband
3920, Bachelors, Never-married, Own-child
3921, Some-college, Married-civ-spouse, Husband
3922, 11th, Divorced, Not-in-family
3923, HS-grad, Never-married, Own-child
3924, HS-grad, Married-civ-spouse, Husband
3925, Assoc-acdm, Married-civ-spouse, Husband
3926, Some-college, Married-civ-spouse, Husband
3927, Some-college, Divorced, Not-in-family
3928, Masters, Married-civ-spouse, Husband
3929, HS-grad, Married-civ-spouse, Husband
3930, HS-grad, Married-civ-spouse, Husband
3931, HS-grad, Never-married, Own-child
3932, 5th-6th, Widowed, Unmarried
3933, HS-grad, Married-civ-spouse, Husband
3934, HS-grad, Married-civ-spouse, Husband
3935, Masters, Divorced, Not-in-family
3936, 11th, Never-married, Own-child
3937, Assoc-voc, Divorced, Unmarried
3938, Assoc-acdm, Separated, Not-in-family
3939, Some-college, Divorced, Unmarried
3940, HS-grad, Married-civ-spouse, Husband
3941, Bachelors, Never-married, Not-in-family
3942, 1st-4th, Married-civ-spouse, Husband
3943, Bachelors, Never-married, Own-child
3944, HS-grad, Never-married, Unmarried
3945, Some-college, Married-civ-spouse, Husband
3946, Bachelors, Married-civ-spouse, Husband
3947, HS-grad, Never-married, Not-in-family
3948, HS-grad, Divorced, Not-in-family
3949, HS-grad, Married-civ-spouse, Husband
3950, HS-grad, Separated, Unmarried
3951, HS-grad, Divorced, Unmarried
3952, Bachelors, Never-married, Not-in-family
3953, Some-college, Married-civ-spouse, Husband
3954, Some-college, Married-civ-spouse, Husband
3955, HS-grad, Married-civ-spouse, Husband
3956, HS-grad, Never-married, Other-relative
3957, Masters, Divorced, Not-in-family
3958, Assoc-voc, Divorced, Not-in-family
3959, Some-college, Married-civ-spouse, Husband
3960, Some-college, Married-civ-spouse, Husband
3961, Some-college, Divorced, Unmarried
3962, HS-grad, Married-civ-spouse, Husband
3963, Assoc-voc, Married-civ-spouse, Husband
3964, HS-grad, Widowed, Not-in-family
3965, Bachelors, Married-civ-spouse, Husband
3966, HS-grad, Married-civ-spouse, Wife
3967, Masters, Married-civ-spouse, Wife
3968, 11th, Married-civ-spouse, Husband
3969, 11th, Married-civ-spouse, Husband
3970, Assoc-acdm, Divorced, Not-in-family
3971, Bachelors, Never-married, Not-in-family
3972, 9th, Divorced, Not-in-family
3973, HS-grad, Never-married, Own-child
3974, HS-grad, Never-married, Own-child
3975, Some-college, Separated, Not-in-family
3976, Bachelors, Never-married, Not-in-family
3977, HS-grad, Married-civ-spouse, Husband
3978, Bachelors, Never-married, Own-child
3979, Bachelors, Married-civ-spouse, Husband
3980, Masters, Divorced, Not-in-family
3981, Assoc-acdm, Married-civ-spouse, Husband
3982, HS-grad, Never-married, Not-in-family
3983, Bachelors, Divorced, Unmarried
3984, 10th, Married-civ-spouse, Husband
3985, 9th, Divorced, Not-in-family
3986, HS-grad, Never-married, Own-child
3987, HS-grad, Separated, Not-in-family
3988, Bachelors, Married-civ-spouse, Husband
3989, HS-grad, Married-civ-spouse, Husband
3990, Some-college, Never-married, Own-child
3991, HS-grad, Widowed, Not-in-family
3992, Some-college, Never-married, Own-child
3993, HS-grad, Divorced, Other-relative
3994, Bachelors, Married-spouse-absent, Own-child
3995, HS-grad, Separated, Not-in-family
3996, Some-college, Never-married, Unmarried
3997, HS-grad, Never-married, Not-in-family
3998, HS-grad, Married-civ-spouse, Husband
3999, 10th, Married-civ-spouse, Husband
4000, 7th-8th, Married-civ-spouse, Husband
4001, Bachelors, Married-civ-spouse, Husband
4002, HS-grad, Never-married, Own-child
4003, Bachelors, Never-married, Own-child
4004, Some-college, Never-married, Not-in-family
4005, Prof-school, Never-married, Not-in-family
4006, Some-college, Married-civ-spouse, Husband
4007, Bachelors, Never-married, Not-in-family
4008, HS-grad, Divorced, Not-in-family
4009, HS-grad, Married-civ-spouse, Husband
4010, Assoc-acdm, Divorced, Not-in-family
4011, Some-college, Never-married, Own-child
4012, Some-college, Never-married, Not-in-family
4013, 7th-8th, Married-civ-spouse, Husband
4014, Some-college, Never-married, Own-child
4015, HS-grad, Never-married, Own-child
4016, Some-college, Married-civ-spouse, Husband
4017, HS-grad, Divorced, Own-child
4018, Some-college, Married-civ-spouse, Husband
4019, Doctorate, Married-civ-spouse, Husband
4020, Assoc-acdm, Never-married, Not-in-family
4021, HS-grad, Divorced, Unmarried
4022, Some-college, Never-married, Own-child
4023, Assoc-voc, Divorced, Own-child
4024, HS-grad, Never-married, Other-relative
4025, 10th, Married-civ-spouse, Husband
4026, HS-grad, Married-civ-spouse, Husband
4027, Some-college, Never-married, Not-in-family
4028, Some-college, Married-civ-spouse, Husband
4029, HS-grad, Divorced, Not-in-family
4030, HS-grad, Married-civ-spouse, Husband
4031, HS-grad, Never-married, Not-in-family
4032, HS-grad, Married-civ-spouse, Husband
4033, Assoc-voc, Married-civ-spouse, Husband
4034, Assoc-acdm, Never-married, Not-in-family
4035, Some-college, Never-married, Not-in-family
4036, Prof-school, Separated, Unmarried
4037, Bachelors, Never-married, Own-child
4038, 10th, Divorced, Not-in-family
4039, HS-grad, Separated, Own-child
4040, HS-grad, Divorced, Not-in-family
4041, Bachelors, Never-married, Not-in-family
4042, HS-grad, Divorced, Unmarried
4043, Bachelors, Married-civ-spouse, Wife
4044, HS-grad, Divorced, Not-in-family
4045, Some-college, Never-married, Own-child
4046, Assoc-voc, Married-civ-spouse, Husband
4047, HS-grad, Never-married, Other-relative
4048, HS-grad, Widowed, Unmarried
4049, Some-college, Married-civ-spouse, Husband
4050, Assoc-voc, Divorced, Not-in-family
4051, Bachelors, Married-civ-spouse, Husband
4052, Bachelors, Never-married, Not-in-family
4053, HS-grad, Divorced, Not-in-family
4054, Bachelors, Married-civ-spouse, Husband
4055, Bachelors, Married-civ-spouse, Husband
4056, Prof-school, Married-civ-spouse, Husband
4057, Some-college, Married-civ-spouse, Husband
4058, Assoc-voc, Never-married, Unmarried
4059, Assoc-acdm, Married-civ-spouse, Husband
4060, Some-college, Never-married, Own-child
4061, Bachelors, Married-civ-spouse, Husband
4062, 11th, Divorced, Own-child
4063, HS-grad, Never-married, Own-child
4064, HS-grad, Divorced, Not-in-family
4065, HS-grad, Divorced, Not-in-family
4066, HS-grad, Married-civ-spouse, Husband
4067, HS-grad, Married-civ-spouse, Wife
4068, 11th, Divorced, Not-in-family
4069, Assoc-acdm, Never-married, Own-child
4070, HS-grad, Never-married, Unmarried
4071, 11th, Never-married, Own-child
4072, Some-college, Divorced, Unmarried
4073, HS-grad, Never-married, Unmarried
4074, Bachelors, Divorced, Unmarried
4075, HS-grad, Never-married, Not-in-family
4076, Bachelors, Married-civ-spouse, Husband
4077, HS-grad, Never-married, Own-child
4078, HS-grad, Married-civ-spouse, Husband
4079, Some-college, Never-married, Own-child
4080, HS-grad, Married-civ-spouse, Husband
4081, Some-college, Never-married, Own-child
4082, HS-grad, Never-married, Own-child
4083, 7th-8th, Married-civ-spouse, Husband
4084, HS-grad, Divorced, Own-child
4085, Some-college, Divorced, Unmarried
4086, HS-grad, Divorced, Other-relative
4087, 10th, Married-civ-spouse, Husband
4088, Bachelors, Married-civ-spouse, Husband
4089, Bachelors, Married-civ-spouse, Husband
4090, Some-college, Never-married, Own-child
4091, 11th, Never-married, Own-child
4092, HS-grad, Divorced, Not-in-family
4093, Masters, Never-married, Own-child
4094, Masters, Married-civ-spouse, Husband
4095, 10th, Married-civ-spouse, Husband
4096, HS-grad, Married-civ-spouse, Husband
4097, HS-grad, Married-civ-spouse, Husband
4098, Masters, Married-civ-spouse, Husband
4099, 11th, Never-married, Own-child
4100, HS-grad, Married-civ-spouse, Husband
4101, Bachelors, Never-married, Unmarried
4102, HS-grad, Married-civ-spouse, Husband
4103, 9th, Married-civ-spouse, Husband
4104, Some-college, Never-married, Not-in-family
4105, Some-college, Married-civ-spouse, Husband
4106, Some-college, Divorced, Not-in-family
4107, Bachelors, Never-married, Not-in-family
4108, Preschool, Married-civ-spouse, Not-in-family
4109, Bachelors, Never-married, Not-in-family
4110, Bachelors, Widowed, Other-relative
4111, HS-grad, Never-married, Not-in-family
4112, Some-college, Divorced, Not-in-family
4113, Some-college, Divorced, Unmarried
4114, Assoc-voc, Never-married, Not-in-family
4115, Bachelors, Never-married, Not-in-family
4116, Some-college, Married-civ-spouse, Husband
4117, Assoc-voc, Married-civ-spouse, Husband
4118, HS-grad, Never-married, Own-child
4119, Bachelors, Never-married, Not-in-family
4120, HS-grad, Married-civ-spouse, Husband
4121, Some-college, Divorced, Not-in-family
4122, HS-grad, Married-civ-spouse, Husband
4123, Some-college, Married-civ-spouse, Husband
4124, 9th, Divorced, Own-child
4125, Bachelors, Never-married, Not-in-family
4126, HS-grad, Married-civ-spouse, Husband
4127, HS-grad, Married-civ-spouse, Husband
4128, Prof-school, Married-civ-spouse, Husband
4129, Bachelors, Never-married, Own-child
4130, Some-college, Never-married, Not-in-family
4131, 5th-6th, Never-married, Unmarried
4132, Some-college, Married-civ-spouse, Husband
4133, Some-college, Married-civ-spouse, Husband
4134, HS-grad, Married-civ-spouse, Husband
4135, HS-grad, Divorced, Unmarried
4136, HS-grad, Never-married, Unmarried
4137, Bachelors, Married-civ-spouse, Husband
4138, Some-college, Married-civ-spouse, Husband
4139, Some-college, Never-married, Own-child
4140, HS-grad, Never-married, Own-child
4141, HS-grad, Married-civ-spouse, Husband
4142, 12th, Divorced, Not-in-family
4143, Some-college, Never-married, Not-in-family
4144, HS-grad, Married-civ-spouse, Husband
4145, HS-grad, Divorced, Unmarried
4146, Bachelors, Married-civ-spouse, Wife
4147, HS-grad, Married-civ-spouse, Husband
4148, Some-college, Married-civ-spouse, Husband
4149, Assoc-voc, Married-civ-spouse, Husband
4150, Some-college, Never-married, Own-child
4151, HS-grad, Divorced, Not-in-family
4152, Some-college, Divorced, Unmarried
4153, Some-college, Never-married, Own-child
4154, Bachelors, Never-married, Not-in-family
4155, Doctorate, Married-civ-spouse, Husband
4156, 7th-8th, Never-married, Other-relative
4157, Some-college, Never-married, Own-child
4158, HS-grad, Divorced, Not-in-family
4159, HS-grad, Divorced, Unmarried
4160, Some-college, Married-civ-spouse, Husband
4161, HS-grad, Married-civ-spouse, Own-child
4162, 9th, Married-civ-spouse, Husband
4163, HS-grad, Married-civ-spouse, Husband
4164, Some-college, Married-spouse-absent, Unmarried
4165, Assoc-voc, Married-civ-spouse, Wife
4166, Assoc-acdm, Married-civ-spouse, Wife
4167, 11th, Never-married, Own-child
4168, Some-college, Married-civ-spouse, Husband
4169, Some-college, Never-married, Not-in-family
4170, Assoc-voc, Married-civ-spouse, Wife
4171, 10th, Married-civ-spouse, Husband
4172, HS-grad, Divorced, Unmarried
4173, Masters, Married-civ-spouse, Husband
4174, Bachelors, Never-married, Own-child
4175, 11th, Never-married, Own-child
4176, HS-grad, Separated, Not-in-family
4177, HS-grad, Married-civ-spouse, Husband
4178, Bachelors, Married-civ-spouse, Husband
4179, HS-grad, Married-civ-spouse, Husband
4180, Bachelors, Never-married, Not-in-family
4181, HS-grad, Never-married, Own-child
4182, Some-college, Widowed, Not-in-family
4183, HS-grad, Married-civ-spouse, Husband
4184, HS-grad, Never-married, Not-in-family
4185, Bachelors, Never-married, Own-child
4186, Assoc-voc, Married-civ-spouse, Husband
4187, 11th, Married-civ-spouse, Husband
4188, Some-college, Divorced, Unmarried
4189, HS-grad, Married-civ-spouse, Husband
4190, 7th-8th, Married-civ-spouse, Husband
4191, 12th, Never-married, Not-in-family
4192, Some-college, Never-married, Not-in-family
4193, HS-grad, Married-civ-spouse, Husband
4194, Some-college, Never-married, Own-child
4195, 12th, Never-married, Own-child
4196, HS-grad, Never-married, Not-in-family
4197, 9th, Married-civ-spouse, Husband
4198, Some-college, Married-civ-spouse, Husband
4199, HS-grad, Married-civ-spouse, Wife
4200, 12th, Never-married, Not-in-family
4201, 11th, Never-married, Own-child
4202, Assoc-voc, Married-civ-spouse, Husband
4203, HS-grad, Divorced, Not-in-family
4204, Bachelors, Separated, Not-in-family
4205, Some-college, Never-married, Not-in-family
4206, HS-grad, Never-married, Own-child
4207, HS-grad, Widowed, Not-in-family
4208, Bachelors, Divorced, Not-in-family
4209, Masters, Never-married, Not-in-family
4210, Some-college, Never-married, Own-child
4211, Assoc-acdm, Married-civ-spouse, Husband
4212, HS-grad, Married-civ-spouse, Husband
4213, 7th-8th, Never-married, Not-in-family
4214, HS-grad, Never-married, Own-child
4215, HS-grad, Divorced, Not-in-family
4216, Masters, Never-married, Not-in-family
4217, Some-college, Never-married, Other-relative
4218, Some-college, Never-married, Own-child
4219, 10th, Never-married, Not-in-family
4220, Bachelors, Never-married, Not-in-family
4221, HS-grad, Never-married, Not-in-family
4222, Some-college, Divorced, Unmarried
4223, Some-college, Divorced, Not-in-family
4224, 11th, Never-married, Own-child
4225, Some-college, Never-married, Own-child
4226, HS-grad, Separated, Not-in-family
4227, HS-grad, Divorced, Unmarried
4228, HS-grad, Never-married, Not-in-family
4229, Assoc-voc, Divorced, Unmarried
4230, Some-college, Married-civ-spouse, Wife
4231, Some-college, Married-civ-spouse, Husband
4232, Assoc-voc, Divorced, Unmarried
4233, 9th, Married-civ-spouse, Husband
4234, Bachelors, Never-married, Not-in-family
4235, Some-college, Widowed, Unmarried
4236, Bachelors, Never-married, Not-in-family
4237, Doctorate, Married-civ-spouse, Husband
4238, Masters, Never-married, Own-child
4239, HS-grad, Married-civ-spouse, Husband
4240, Some-college, Separated, Unmarried
4241, 12th, Never-married, Not-in-family
4242, Assoc-acdm, Never-married, Not-in-family
4243, Some-college, Divorced, Own-child
4244, 11th, Never-married, Not-in-family
4245, Assoc-acdm, Married-civ-spouse, Husband
4246, HS-grad, Never-married, Not-in-family
4247, Bachelors, Married-civ-spouse, Wife
4248, HS-grad, Never-married, Own-child
4249, 11th, Never-married, Not-in-family
4250, Bachelors, Married-civ-spouse, Husband
4251, HS-grad, Never-married, Own-child
4252, HS-grad, Divorced, Not-in-family
4253, Some-college, Married-spouse-absent, Not-in-family
4254, HS-grad, Divorced, Unmarried
4255, Bachelors, Never-married, Not-in-family
4256, HS-grad, Married-civ-spouse, Husband
4257, HS-grad, Married-civ-spouse, Other-relative
4258, HS-grad, Married-civ-spouse, Husband
4259, Assoc-acdm, Married-civ-spouse, Husband
4260, Some-college, Never-married, Not-in-family
4261, Some-college, Divorced, Not-in-family
4262, HS-grad, Never-married, Not-in-family
4263, Some-college, Never-married, Own-child
4264, HS-grad, Married-civ-spouse, Wife
4265, Bachelors, Married-civ-spouse, Husband
4266, HS-grad, Married-civ-spouse, Husband
4267, Bachelors, Married-civ-spouse, Husband
4268, Bachelors, Married-civ-spouse, Husband
4269, HS-grad, Never-married, Not-in-family
4270, Some-college, Never-married, Other-relative
4271, HS-grad, Divorced, Not-in-family
4272, HS-grad, Married-civ-spouse, Husband
4273, Some-college, Never-married, Own-child
4274, HS-grad, Widowed, Unmarried
4275, Bachelors, Separated, Not-in-family
4276, Some-college, Married-civ-spouse, Husband
4277, Bachelors, Never-married, Not-in-family
4278, Some-college, Never-married, Own-child
4279, Bachelors, Separated, Unmarried
4280, HS-grad, Divorced, Unmarried
4281, Assoc-voc, Married-civ-spouse, Husband
4282, 7th-8th, Widowed, Unmarried
4283, Some-college, Married-civ-spouse, Wife
4284, HS-grad, Married-civ-spouse, Husband
4285, HS-grad, Never-married, Own-child
4286, HS-grad, Married-civ-spouse, Husband
4287, HS-grad, Never-married, Other-relative
4288, Bachelors, Married-civ-spouse, Husband
4289, 10th, Divorced, Not-in-family
4290, Some-college, Never-married, Not-in-family
4291, HS-grad, Married-civ-spouse, Husband
4292, 12th, Married-civ-spouse, Husband
4293, Assoc-voc, Never-married, Unmarried
