@relation 'adult-training-weka.filters.unsupervised.attribute.Discretize-F-B4-M-1.0-R1,9-precision6-weka.filters.unsupervised.attribute.Remove-R1,7-8,10-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Clast-L1'

@attribute Workclass {' State-gov',' Self-emp-not-inc',' Private',' Federal-gov',' Local-gov',' ?',' Self-emp-inc',' Without-pay',' Never-worked'}
@attribute Education {' Bachelors',' HS-grad',' 11th',' Masters',' 9th',' Some-college',' Assoc-acdm',' Assoc-voc',' 7th-8th',' Doctorate',' Prof-school',' 5th-6th',' 10th',' 1st-4th',' Preschool',' 12th'}
@attribute Maritial-status {' Never-married',' Married-civ-spouse',' Divorced',' Married-spouse-absent',' Separated',' Married-AF-spouse',' Widowed'}
@attribute Occupation {' Adm-clerical',' Exec-managerial',' Handlers-cleaners',' Prof-specialty',' Other-service',' Sales',' Craft-repair',' Transport-moving',' Farming-fishing',' Machine-op-inspct',' Tech-support',' ?',' Protective-serv',' Armed-Forces',' Priv-house-serv'}
@attribute Relationship {' Not-in-family',' Husband',' Wife',' Own-child',' Unmarried',' Other-relative'}
@attribute Hours-per-week {1_40,40_41,41_51,51_99}
@attribute Income-bracket {' <=50K',' >50K'}

@data
' Private',' HS-grad',' Divorced',' Sales',' Not-in-family',40_41,' >50K'
' Local-gov',' 9th',' Widowed',' Handlers-cleaners',' Unmarried',40_41,' >50K'
' Self-emp-inc',' Doctorate',' Married-civ-spouse',' Prof-specialty',' Husband',40_41,' >50K'
' Private',' Some-college',' Married-civ-spouse',' Exec-managerial',' Husband',40_41,' >50K'
' Private',' HS-grad',' Married-civ-spouse',' Transport-moving',' Husband',51_99,' >50K'
' Private',' Assoc-acdm',' Married-civ-spouse',' Tech-support',' Husband',40_41,' >50K'
' Private',' Some-college',' Married-civ-spouse',' Prof-specialty',' Husband',41_51,' >50K'
' Private',' HS-grad',' Widowed',' Sales',' Not-in-family',51_99,' >50K'
' Private',' Prof-school',' Married-civ-spouse',' Prof-specialty',' Husband',1_40,' >50K'
' Private',' Bachelors',' Married-civ-spouse',' Exec-managerial',' Husband',41_51,' >50K'
' Private',' Bachelors',' Married-civ-spouse',' Prof-specialty',' Wife',1_40,' >50K'
' Private',' 10th',' Married-civ-spouse',' Craft-repair',' Husband',40_41,' >50K'
' ?',' HS-grad',' Married-civ-spouse',' ?',' Husband',40_41,' >50K'
' Private',' Some-college',' Married-civ-spouse',' Craft-repair',' Husband',40_41,' >50K'
' State-gov',' Doctorate',' Married-spouse-absent',' Prof-specialty',' Unmarried',51_99,' >50K'
' Private',' Some-college',' Married-civ-spouse',' Transport-moving',' Husband',51_99,' >50K'
' State-gov',' Some-college',' Married-civ-spouse',' Prof-specialty',' Husband',40_41,' >50K'
' Private',' Bachelors',' Married-civ-spouse',' Exec-managerial',' Wife',51_99,' >50K'
' Local-gov',' Masters',' Married-civ-spouse',' Prof-specialty',' Wife',40_41,' >50K'
' Self-emp-not-inc',' Bachelors',' Married-civ-spouse',' Prof-specialty',' Husband',41_51,' >50K'
' Private',' HS-grad',' Married-civ-spouse',' Farming-fishing',' Husband',51_99,' >50K'
' Private',' HS-grad',' Never-married',' Craft-repair',' Not-in-family',40_41,' >50K'
' Self-emp-inc',' Bachelors',' Married-civ-spouse',' Exec-managerial',' Husband',40_41,' >50K'
' Private',' Bachelors',' Married-civ-spouse',' Exec-managerial',' Husband',40_41,' >50K'
' Private',' Some-college',' Married-civ-spouse',' Adm-clerical',' Wife',40_41,' >50K'
' Private',' Assoc-acdm',' Married-civ-spouse',' Craft-repair',' Husband',1_40,' >50K'
' Private',' Bachelors',' Married-civ-spouse',' Exec-managerial',' Husband',40_41,' >50K'
' Private',' Some-college',' Married-civ-spouse',' Craft-repair',' Husband',40_41,' >50K'
' Private',' Masters',' Married-civ-spouse',' Exec-managerial',' Husband',41_51,' >50K'
' Self-emp-not-inc',' HS-grad',' Divorced',' Sales',' Not-in-family',41_51,' >50K'
' Self-emp-not-inc',' Doctorate',' Divorced',' Prof-specialty',' Not-in-family',51_99,' >50K'
' Private',' Masters',' Married-civ-spouse',' Exec-managerial',' Husband',41_51,' >50K'
' Self-emp-inc',' Doctorate',' Married-civ-spouse',' Prof-specialty',' Wife',51_99,' >50K'
' Self-emp-not-inc',' Some-college',' Married-civ-spouse',' Farming-fishing',' Husband',51_99,' >50K'
' Private',' Bachelors',' Never-married',' Exec-managerial',' Not-in-family',41_51,' >50K'
' Local-gov',' Assoc-acdm',' Married-civ-spouse',' Protective-serv',' Husband',40_41,' >50K'
' Self-emp-not-inc',' HS-grad',' Married-civ-spouse',' Craft-repair',' Husband',40_41,' >50K'
' Private',' Some-college',' Married-civ-spouse',' Prof-specialty',' Husband',1_40,' >50K'
' Private',' HS-grad',' Married-civ-spouse',' Craft-repair',' Husband',40_41,' >50K'
' Private',' Some-college',' Married-civ-spouse',' Craft-repair',' Husband',51_99,' >50K'
' Private',' Some-college',' Married-civ-spouse',' Exec-managerial',' Husband',40_41,' >50K'
' Self-emp-inc',' Some-college',' Married-civ-spouse',' Sales',' Husband',40_41,' >50K'
' Private',' Bachelors',' Married-civ-spouse',' Other-service',' Husband',51_99,' >50K'
' State-gov',' Bachelors',' Married-civ-spouse',' Protective-serv',' Husband',41_51,' >50K'
' Self-emp-not-inc',' HS-grad',' Married-civ-spouse',' Prof-specialty',' Husband',40_41,' >50K'
' Self-emp-not-inc',' Some-college',' Married-civ-spouse',' Craft-repair',' Husband',40_41,' >50K'
' Private',' Bachelors',' Married-civ-spouse',' Exec-managerial',' Husband',51_99,' >50K'
' Private',' Some-college',' Married-civ-spouse',' Tech-support',' Husband',40_41,' >50K'
' Private',' HS-grad',' Married-civ-spouse',' Sales',' Husband',41_51,' >50K'
' Private',' Bachelors',' Married-civ-spouse',' Exec-managerial',' Husband',41_51,' >50K'
' Private',' Assoc-voc',' Married-civ-spouse',' Exec-managerial',' Husband',41_51,' >50K'
' Self-emp-not-inc',' HS-grad',' Married-civ-spouse',' Sales',' Husband',40_41,' >50K'
' Private',' 1st-4th',' Married-civ-spouse',' Farming-fishing',' Husband',51_99,' >50K'
' Private',' HS-grad',' Married-civ-spouse',' Machine-op-inspct',' Husband',41_51,' >50K'
' Self-emp-inc',' Bachelors',' Married-civ-spouse',' Exec-managerial',' Husband',41_51,' >50K'
' Self-emp-not-inc',' Prof-school',' Married-civ-spouse',' Prof-specialty',' Husband',51_99,' >50K'
' Federal-gov',' Some-college',' Married-civ-spouse',' Tech-support',' Husband',1_40,' >50K'
' Federal-gov',' Doctorate',' Married-civ-spouse',' Prof-specialty',' Husband',51_99,' >50K'
' Private',' Masters',' Married-civ-spouse',' Exec-managerial',' Husband',41_51,' >50K'
' Private',' 10th',' Married-civ-spouse',' Transport-moving',' Husband',40_41,' >50K'
' Private',' HS-grad',' Married-civ-spouse',' Tech-support',' Husband',40_41,' >50K'
' Private',' Assoc-voc',' Married-civ-spouse',' Craft-repair',' Husband',41_51,' >50K'
' Private',' Masters',' Married-spouse-absent',' Exec-managerial',' Not-in-family',51_99,' >50K'
' Federal-gov',' Some-college',' Married-civ-spouse',' Protective-serv',' Husband',40_41,' >50K'
' Private',' HS-grad',' Married-civ-spouse',' Adm-clerical',' Wife',40_41,' >50K'
' Private',' Prof-school',' Married-civ-spouse',' Prof-specialty',' Husband',40_41,' >50K'
' Self-emp-not-inc',' Prof-school',' Divorced',' Prof-specialty',' Unmarried',51_99,' >50K'
' State-gov',' Bachelors',' Married-civ-spouse',' Prof-specialty',' Husband',1_40,' >50K'
' Private',' Bachelors',' Married-civ-spouse',' Craft-repair',' Husband',41_51,' >50K'
' ?',' Bachelors',' Married-civ-spouse',' ?',' Husband',1_40,' >50K'
' Self-emp-not-inc',' 5th-6th',' Married-civ-spouse',' Craft-repair',' Husband',41_51,' >50K'
' Self-emp-not-inc',' Assoc-voc',' Married-civ-spouse',' Farming-fishing',' Husband',51_99,' >50K'
' Private',' Bachelors',' Divorced',' Exec-managerial',' Not-in-family',41_51,' >50K'
' Federal-gov',' Bachelors',' Married-civ-spouse',' Protective-serv',' Husband',41_51,' >50K'
' Private',' HS-grad',' Married-civ-spouse',' Craft-repair',' Husband',41_51,' >50K'
' Private',' HS-grad',' Married-civ-spouse',' Sales',' Husband',51_99,' >50K'
' Self-emp-not-inc',' Bachelors',' Married-civ-spouse',' Prof-specialty',' Husband',1_40,' >50K'
' Private',' Bachelors',' Married-civ-spouse',' Sales',' Husband',51_99,' >50K'
' Private',' Some-college',' Married-civ-spouse',' Prof-specialty',' Husband',40_41,' >50K'
' Private',' Some-college',' Separated',' Exec-managerial',' Not-in-family',41_51,' >50K'
' Local-gov',' Assoc-acdm',' Married-civ-spouse',' Protective-serv',' Husband',41_51,' >50K'
' Local-gov',' HS-grad',' Married-civ-spouse',' Protective-serv',' Husband',41_51,' >50K'
' Private',' Masters',' Married-civ-spouse',' Prof-specialty',' Husband',41_51,' >50K'
' Self-emp-not-inc',' Prof-school',' Never-married',' Prof-specialty',' Not-in-family',40_41,' >50K'
' Private',' Bachelors',' Married-civ-spouse',' Sales',' Husband',41_51,' >50K'
' Private',' HS-grad',' Married-civ-spouse',' Machine-op-inspct',' Husband',40_41,' >50K'
' Private',' Bachelors',' Married-civ-spouse',' Exec-managerial',' Husband',40_41,' >50K'
' Private',' HS-grad',' Married-civ-spouse',' Adm-clerical',' Wife',40_41,' >50K'
' Private',' Some-college',' Divorced',' Craft-repair',' Not-in-family',41_51,' >50K'
' Self-emp-inc',' Bachelors',' Married-civ-spouse',' Prof-specialty',' Husband',41_51,' >50K'
' Self-emp-not-inc',' Bachelors',' Married-civ-spouse',' Exec-managerial',' Husband',40_41,' >50K'
' Self-emp-inc',' Bachelors',' Married-civ-spouse',' Exec-managerial',' Husband',40_41,' >50K'
' Self-emp-inc',' Bachelors',' Married-civ-spouse',' Farming-fishing',' Husband',40_41,' >50K'
' Local-gov',' Bachelors',' Married-civ-spouse',' Handlers-cleaners',' Husband',51_99,' >50K'
' Federal-gov',' Bachelors',' Married-civ-spouse',' Prof-specialty',' Husband',41_51,' >50K'
' Self-emp-not-inc',' Bachelors',' Married-spouse-absent',' Sales',' Own-child',41_51,' >50K'
' Private',' Prof-school',' Married-civ-spouse',' Prof-specialty',' Husband',51_99,' >50K'
' Self-emp-not-inc',' Some-college',' Divorced',' Craft-repair',' Not-in-family',1_40,' >50K'
' Private',' Masters',' Married-civ-spouse',' Exec-managerial',' Husband',41_51,' >50K'
' Private',' Bachelors',' Married-civ-spouse',' Sales',' Husband',41_51,' >50K'
' Private',' 11th',' Married-civ-spouse',' Protective-serv',' Husband',1_40,' >50K'
' Private',' Some-college',' Married-civ-spouse',' Farming-fishing',' Husband',51_99,' >50K'
' Private',' Masters',' Married-civ-spouse',' Exec-managerial',' Husband',41_51,' >50K'
' Self-emp-inc',' Bachelors',' Married-civ-spouse',' Prof-specialty',' Husband',40_41,' >50K'
' Private',' HS-grad',' Married-civ-spouse',' Exec-managerial',' Husband',1_40,' >50K'
' Private',' HS-grad',' Married-civ-spouse',' Prof-specialty',' Husband',41_51,' >50K'
' Local-gov',' Masters',' Married-civ-spouse',' Prof-specialty',' Husband',41_51,' >50K'
' Private',' Some-college',' Married-civ-spouse',' Craft-repair',' Husband',40_41,' >50K'
' Private',' HS-grad',' Married-civ-spouse',' Exec-managerial',' Husband',51_99,' >50K'
' Self-emp-not-inc',' 5th-6th',' Married-civ-spouse',' Exec-managerial',' Husband',51_99,' >50K'
' Private',' Bachelors',' Never-married',' Exec-managerial',' Not-in-family',41_51,' >50K'
' Private',' HS-grad',' Married-civ-spouse',' Machine-op-inspct',' Husband',41_51,' >50K'
' Private',' Some-college',' Married-civ-spouse',' Adm-clerical',' Wife',1_40,' >50K'
' Private',' HS-grad',' Married-civ-spouse',' Craft-repair',' Husband',40_41,' >50K'
' Private',' Bachelors',' Never-married',' Prof-specialty',' Not-in-family',40_41,' >50K'
' Private',' Bachelors',' Married-civ-spouse',' Exec-managerial',' Husband',41_51,' >50K'
' Private',' Bachelors',' Married-civ-spouse',' Exec-managerial',' Husband',40_41,' >50K'
' Private',' Masters',' Married-civ-spouse',' Prof-specialty',' Husband',40_41,' >50K'
' Private',' Some-college',' Married-civ-spouse',' Machine-op-inspct',' Husband',40_41,' >50K'
' State-gov',' Bachelors',' Married-civ-spouse',' Prof-specialty',' Husband',41_51,' >50K'
' Self-emp-not-inc',' Masters',' Married-civ-spouse',' Exec-managerial',' Husband',41_51,' >50K'
' Private',' HS-grad',' Married-civ-spouse',' Transport-moving',' Husband',51_99,' >50K'
' Private',' HS-grad',' Married-civ-spouse',' Craft-repair',' Husband',41_51,' >50K'
' Private',' Masters',' Married-civ-spouse',' Exec-managerial',' Husband',41_51,' >50K'
' Private',' HS-grad',' Married-civ-spouse',' Handlers-cleaners',' Husband',51_99,' >50K'
' Private',' Some-college',' Married-civ-spouse',' Exec-managerial',' Other-relative',41_51,' >50K'
' Federal-gov',' Bachelors',' Never-married',' Adm-clerical',' Unmarried',40_41,' >50K'
' Private',' Masters',' Married-civ-spouse',' Protective-serv',' Husband',40_41,' >50K'
' Private',' Some-college',' Married-civ-spouse',' Machine-op-inspct',' Husband',40_41,' >50K'
' Self-emp-inc',' Bachelors',' Divorced',' Sales',' Not-in-family',51_99,' >50K'
' Private',' Masters',' Married-civ-spouse',' Prof-specialty',' Wife',40_41,' >50K'
' Private',' Bachelors',' Married-civ-spouse',' Exec-managerial',' Husband',41_51,' >50K'
' Local-gov',' Some-college',' Married-civ-spouse',' Craft-repair',' Husband',51_99,' >50K'
' Private',' Prof-school',' Never-married',' Prof-specialty',' Not-in-family',40_41,' >50K'
' Private',' Some-college',' Married-civ-spouse',' Exec-managerial',' Husband',40_41,' >50K'
' Federal-gov',' Bachelors',' Married-civ-spouse',' Adm-clerical',' Husband',40_41,' >50K'
' Private',' HS-grad',' Married-civ-spouse',' Craft-repair',' Husband',40_41,' >50K'
' State-gov',' Assoc-voc',' Divorced',' Tech-support',' Not-in-family',1_40,' >50K'
' Private',' Bachelors',' Married-civ-spouse',' Exec-managerial',' Husband',41_51,' >50K'
' Private',' HS-grad',' Married-civ-spouse',' Craft-repair',' Husband',41_51,' >50K'
' Private',' Assoc-voc',' Married-civ-spouse',' Craft-repair',' Husband',41_51,' >50K'
' Self-emp-inc',' Assoc-voc',' Married-civ-spouse',' Exec-managerial',' Husband',41_51,' >50K'
' Private',' Assoc-voc',' Married-civ-spouse',' Machine-op-inspct',' Husband',40_41,' >50K'
' Self-emp-not-inc',' HS-grad',' Married-civ-spouse',' Exec-managerial',' Husband',51_99,' >50K'
' Private',' Some-college',' Married-civ-spouse',' Transport-moving',' Husband',41_51,' >50K'
' Private',' Bachelors',' Married-civ-spouse',' Exec-managerial',' Husband',40_41,' >50K'
' Local-gov',' Doctorate',' Married-civ-spouse',' Exec-managerial',' Husband',41_51,' >50K'
' Local-gov',' Prof-school',' Married-civ-spouse',' Prof-specialty',' Husband',41_51,' >50K'
' Private',' Some-college',' Married-civ-spouse',' Sales',' Husband',41_51,' >50K'
' Private',' Prof-school',' Married-civ-spouse',' Prof-specialty',' Husband',40_41,' >50K'
' Private',' Masters',' Married-civ-spouse',' Exec-managerial',' Husband',41_51,' >50K'
' ?',' Bachelors',' Married-civ-spouse',' ?',' Husband',1_40,' >50K'
' Federal-gov',' HS-grad',' Married-civ-spouse',' Prof-specialty',' Husband',40_41,' >50K'
' Local-gov',' HS-grad',' Married-civ-spouse',' Adm-clerical',' Wife',1_40,' >50K'
' Private',' Bachelors',' Never-married',' Prof-specialty',' Not-in-family',41_51,' >50K'
' ?',' Doctorate',' Married-civ-spouse',' ?',' Husband',41_51,' >50K'
' Federal-gov',' Some-college',' Widowed',' Tech-support',' Not-in-family',41_51,' >50K'
' ?',' Masters',' Married-civ-spouse',' ?',' Husband',1_40,' >50K'
' Private',' HS-grad',' Married-civ-spouse',' Transport-moving',' Husband',40_41,' >50K'
' Private',' Some-college',' Married-civ-spouse',' Sales',' Husband',41_51,' >50K'
' Private',' Bachelors',' Never-married',' Sales',' Not-in-family',41_51,' >50K'
' Private',' Masters',' Married-civ-spouse',' Transport-moving',' Husband',51_99,' >50K'
' Private',' Masters',' Married-civ-spouse',' Tech-support',' Husband',1_40,' >50K'
' Local-gov',' Some-college',' Married-civ-spouse',' Exec-managerial',' Husband',40_41,' >50K'
' Private',' Some-college',' Married-civ-spouse',' Transport-moving',' Husband',40_41,' >50K'
' Private',' Prof-school',' Married-civ-spouse',' Prof-specialty',' Husband',1_40,' >50K'
' Private',' Some-college',' Married-civ-spouse',' Exec-managerial',' Husband',51_99,' >50K'
' Local-gov',' Bachelors',' Married-civ-spouse',' Prof-specialty',' Husband',40_41,' >50K'
' Local-gov',' Bachelors',' Married-civ-spouse',' Sales',' Husband',40_41,' >50K'
' State-gov',' HS-grad',' Divorced',' Adm-clerical',' Unmarried',41_51,' >50K'
' Private',' Masters',' Married-civ-spouse',' Prof-specialty',' Husband',41_51,' >50K'
' Private',' Prof-school',' Married-civ-spouse',' Prof-specialty',' Husband',40_41,' >50K'
' Private',' HS-grad',' Married-civ-spouse',' Exec-managerial',' Husband',40_41,' >50K'
' Private',' Some-college',' Married-civ-spouse',' Sales',' Husband',41_51,' >50K'
' Private',' Bachelors',' Married-civ-spouse',' Exec-managerial',' Husband',40_41,' >50K'
' Self-emp-inc',' Bachelors',' Married-civ-spouse',' Sales',' Husband',51_99,' >50K'
' Self-emp-inc',' HS-grad',' Married-civ-spouse',' Craft-repair',' Husband',40_41,' >50K'
' Private',' Some-college',' Married-civ-spouse',' Craft-repair',' Husband',41_51,' >50K'
' Private',' Some-college',' Married-civ-spouse',' Adm-clerical',' Wife',1_40,' >50K'
' Private',' Bachelors',' Married-civ-spouse',' Prof-specialty',' Wife',41_51,' >50K'
' Private',' Some-college',' Married-civ-spouse',' Transport-moving',' Husband',1_40,' >50K'
' Local-gov',' Doctorate',' Married-civ-spouse',' Exec-managerial',' Husband',41_51,' >50K'
' Private',' HS-grad',' Married-civ-spouse',' Exec-managerial',' Husband',40_41,' >50K'
' State-gov',' Masters',' Married-civ-spouse',' Prof-specialty',' Husband',40_41,' >50K'
' Private',' Some-college',' Divorced',' Prof-specialty',' Not-in-family',41_51,' >50K'
' Private',' HS-grad',' Divorced',' Other-service',' Not-in-family',40_41,' >50K'
' Private',' Bachelors',' Married-civ-spouse',' Exec-managerial',' Husband',40_41,' >50K'
' Federal-gov',' Some-college',' Married-civ-spouse',' Adm-clerical',' Husband',40_41,' >50K'
' Self-emp-inc',' Bachelors',' Never-married',' Sales',' Not-in-family',41_51,' >50K'
' Private',' Assoc-voc',' Married-civ-spouse',' Tech-support',' Husband',40_41,' >50K'
' Private',' Doctorate',' Married-civ-spouse',' Exec-managerial',' Husband',41_51,' >50K'
' Private',' Bachelors',' Divorced',' Prof-specialty',' Not-in-family',40_41,' >50K'
' Self-emp-not-inc',' Assoc-voc',' Married-civ-spouse',' Tech-support',' Husband',1_40,' >50K'
' Private',' HS-grad',' Married-civ-spouse',' Craft-repair',' Husband',40_41,' >50K'
' Private',' Bachelors',' Married-civ-spouse',' Exec-managerial',' Husband',1_40,' >50K'
' Local-gov',' Some-college',' Married-civ-spouse',' Protective-serv',' Husband',41_51,' >50K'
' Private',' HS-grad',' Married-civ-spouse',' Adm-clerical',' Wife',41_51,' >50K'
' Private',' Some-college',' Married-civ-spouse',' Sales',' Husband',51_99,' >50K'
' Local-gov',' HS-grad',' Married-civ-spouse',' Machine-op-inspct',' Husband',40_41,' >50K'
' Self-emp-inc',' Some-college',' Married-civ-spouse',' Craft-repair',' Husband',51_99,' >50K'
' Private',' HS-grad',' Married-civ-spouse',' Transport-moving',' Husband',41_51,' >50K'
' Private',' Bachelors',' Divorced',' Exec-managerial',' Not-in-family',41_51,' >50K'
' Private',' HS-grad',' Married-civ-spouse',' Craft-repair',' Husband',40_41,' >50K'
' Private',' Bachelors',' Married-civ-spouse',' Tech-support',' Wife',1_40,' >50K'
' Self-emp-not-inc',' Assoc-voc',' Married-civ-spouse',' Prof-specialty',' Wife',41_51,' >50K'
' Private',' Bachelors',' Married-civ-spouse',' Prof-specialty',' Husband',41_51,' >50K'
' Self-emp-inc',' Some-college',' Married-civ-spouse',' Exec-managerial',' Husband',41_51,' >50K'
' Self-emp-not-inc',' HS-grad',' Married-civ-spouse',' Machine-op-inspct',' Husband',40_41,' >50K'
' Private',' Bachelors',' Married-civ-spouse',' Exec-managerial',' Wife',1_40,' >50K'
' Private',' HS-grad',' Married-civ-spouse',' Craft-repair',' Husband',40_41,' >50K'
' Private',' HS-grad',' Married-civ-spouse',' Machine-op-inspct',' Husband',40_41,' >50K'
' Private',' Assoc-voc',' Divorced',' Prof-specialty',' Unmarried',40_41,' >50K'
' State-gov',' Masters',' Married-civ-spouse',' Exec-managerial',' Husband',1_40,' >50K'
' Private',' Bachelors',' Married-civ-spouse',' Craft-repair',' Husband',41_51,' >50K'
' Private',' Some-college',' Married-civ-spouse',' Exec-managerial',' Husband',40_41,' >50K'
' Private',' Bachelors',' Married-civ-spouse',' Adm-clerical',' Husband',41_51,' >50K'
' Private',' Some-college',' Married-civ-spouse',' Craft-repair',' Husband',40_41,' >50K'
' Private',' Bachelors',' Married-civ-spouse',' Prof-specialty',' Wife',40_41,' >50K'
' Self-emp-not-inc',' Bachelors',' Divorced',' Exec-managerial',' Unmarried',51_99,' >50K'
' Federal-gov',' Doctorate',' Married-civ-spouse',' Prof-specialty',' Husband',40_41,' >50K'
' Private',' HS-grad',' Married-civ-spouse',' Craft-repair',' Husband',40_41,' >50K'
' Private',' Some-college',' Never-married',' Protective-serv',' Not-in-family',40_41,' >50K'
' Self-emp-inc',' Doctorate',' Married-civ-spouse',' Prof-specialty',' Husband',51_99,' >50K'
' Private',' Bachelors',' Widowed',' Other-service',' Not-in-family',1_40,' >50K'
' Private',' Assoc-acdm',' Married-civ-spouse',' Adm-clerical',' Wife',1_40,' >50K'
' Private',' HS-grad',' Married-civ-spouse',' Tech-support',' Husband',1_40,' >50K'
' Self-emp-not-inc',' Some-college',' Married-civ-spouse',' Sales',' Husband',51_99,' >50K'
' Private',' HS-grad',' Married-civ-spouse',' Sales',' Husband',51_99,' >50K'
' Local-gov',' Bachelors',' Married-civ-spouse',' Prof-specialty',' Husband',40_41,' >50K'
' Private',' Some-college',' Married-civ-spouse',' Prof-specialty',' Husband',40_41,' >50K'
' Private',' Bachelors',' Married-civ-spouse',' Exec-managerial',' Husband',41_51,' >50K'
' Private',' Bachelors',' Never-married',' Exec-managerial',' Not-in-family',41_51,' >50K'
' Private',' Some-college',' Married-civ-spouse',' Exec-managerial',' Husband',41_51,' >50K'
' Private',' Bachelors',' Married-civ-spouse',' Exec-managerial',' Husband',41_51,' >50K'
' Private',' HS-grad',' Married-civ-spouse',' Machine-op-inspct',' Husband',51_99,' >50K'
' Private',' Some-college',' Married-civ-spouse',' Craft-repair',' Husband',40_41,' >50K'
' Private',' Doctorate',' Married-civ-spouse',' Exec-managerial',' Husband',51_99,' >50K'
' Federal-gov',' HS-grad',' Married-civ-spouse',' Tech-support',' Husband',40_41,' >50K'
' Private',' Bachelors',' Married-civ-spouse',' Exec-managerial',' Husband',51_99,' >50K'
' Private',' Bachelors',' Married-civ-spouse',' Sales',' Husband',51_99,' >50K'
' ?',' Prof-school',' Married-civ-spouse',' ?',' Husband',40_41,' >50K'
' Private',' Masters',' Divorced',' Exec-managerial',' Not-in-family',41_51,' >50K'
' ?',' Masters',' Married-civ-spouse',' ?',' Husband',40_41,' >50K'
' Self-emp-not-inc',' Prof-school',' Married-civ-spouse',' Exec-managerial',' Husband',51_99,' >50K'
' State-gov',' Bachelors',' Married-civ-spouse',' Prof-specialty',' Husband',51_99,' >50K'
' Local-gov',' Masters',' Widowed',' Prof-specialty',' Unmarried',1_40,' >50K'
' Private',' Some-college',' Married-civ-spouse',' Prof-specialty',' Husband',1_40,' >50K'
' Self-emp-not-inc',' Bachelors',' Married-civ-spouse',' Prof-specialty',' Husband',41_51,' >50K'
' Private',' Some-college',' Married-civ-spouse',' Adm-clerical',' Wife',40_41,' >50K'
' Private',' 10th',' Married-civ-spouse',' Transport-moving',' Husband',41_51,' >50K'
' Private',' HS-grad',' Married-civ-spouse',' Craft-repair',' Husband',40_41,' >50K'
' Local-gov',' Bachelors',' Married-civ-spouse',' Prof-specialty',' Husband',40_41,' >50K'
' Private',' Bachelors',' Married-civ-spouse',' Exec-managerial',' Husband',51_99,' >50K'
' Private',' Some-college',' Married-civ-spouse',' Exec-managerial',' Husband',40_41,' >50K'
' Private',' Bachelors',' Married-civ-spouse',' Exec-managerial',' Husband',41_51,' >50K'
' Private',' Bachelors',' Married-civ-spouse',' Exec-managerial',' Husband',41_51,' >50K'
' Private',' Bachelors',' Married-civ-spouse',' Adm-clerical',' Husband',40_41,' >50K'
' Private',' Masters',' Divorced',' Exec-managerial',' Unmarried',40_41,' >50K'
' Private',' Some-college',' Married-civ-spouse',' Prof-specialty',' Husband',41_51,' >50K'
' Private',' Bachelors',' Married-civ-spouse',' Prof-specialty',' Husband',40_41,' >50K'
' Private',' Assoc-voc',' Married-civ-spouse',' Prof-specialty',' Husband',41_51,' >50K'
' Local-gov',' HS-grad',' Married-civ-spouse',' Protective-serv',' Husband',40_41,' >50K'
' Private',' HS-grad',' Married-civ-spouse',' Machine-op-inspct',' Husband',40_41,' >50K'
' Private',' HS-grad',' Married-civ-spouse',' Machine-op-inspct',' Husband',41_51,' >50K'
' Private',' Masters',' Married-civ-spouse',' Exec-managerial',' Husband',41_51,' >50K'
' Private',' Bachelors',' Married-civ-spouse',' Sales',' Husband',41_51,' >50K'
' Private',' Some-college',' Divorced',' Other-service',' Not-in-family',41_51,' >50K'
' Private',' Bachelors',' Married-civ-spouse',' Exec-managerial',' Husband',40_41,' >50K'
' Self-emp-inc',' Masters',' Married-civ-spouse',' Prof-specialty',' Husband',51_99,' >50K'
' Private',' Some-college',' Married-civ-spouse',' Machine-op-inspct',' Husband',41_51,' >50K'
' Private',' HS-grad',' Never-married',' Craft-repair',' Own-child',41_51,' >50K'
' Local-gov',' Masters',' Married-civ-spouse',' Exec-managerial',' Husband',41_51,' >50K'
' Federal-gov',' Assoc-voc',' Married-civ-spouse',' Craft-repair',' Husband',40_41,' >50K'
' Private',' HS-grad',' Married-civ-spouse',' Adm-clerical',' Wife',40_41,' >50K'
' Private',' HS-grad',' Married-civ-spouse',' Craft-repair',' Husband',40_41,' >50K'
' Private',' Assoc-acdm',' Married-civ-spouse',' Adm-clerical',' Husband',41_51,' >50K'
' Private',' Masters',' Married-civ-spouse',' Prof-specialty',' Husband',51_99,' >50K'
' Private',' 11th',' Married-civ-spouse',' Adm-clerical',' Husband',40_41,' >50K'
' Private',' HS-grad',' Married-civ-spouse',' Tech-support',' Husband',51_99,' >50K'
' Private',' Assoc-acdm',' Married-civ-spouse',' Craft-repair',' Husband',41_51,' >50K'
' Private',' 11th',' Married-civ-spouse',' Adm-clerical',' Husband',40_41,' >50K'
' Private',' HS-grad',' Married-civ-spouse',' Machine-op-inspct',' Husband',40_41,' >50K'
' Private',' HS-grad',' Married-civ-spouse',' Craft-repair',' Husband',40_41,' >50K'
' Private',' Assoc-voc',' Married-civ-spouse',' Prof-specialty',' Husband',41_51,' >50K'
' Private',' HS-grad',' Married-spouse-absent',' Other-service',' Unmarried',51_99,' >50K'
' Private',' Some-college',' Married-civ-spouse',' Sales',' Husband',51_99,' >50K'
' State-gov',' Bachelors',' Married-civ-spouse',' Prof-specialty',' Wife',40_41,' >50K'
' Private',' Bachelors',' Married-civ-spouse',' Exec-managerial',' Husband',41_51,' >50K'
