@relation 'adult-training-weka.filters.unsupervised.attribute.Discretize-F-B4-M-1.0-R1,9-precision6-weka.filters.unsupervised.attribute.Remove-R1,4,6-8,10'

@attribute Workclass {' State-gov',' Self-emp-not-inc',' Private',' Federal-gov',' Local-gov',' ?',' Self-emp-inc',' Without-pay',' Never-worked'}
@attribute Education {' Bachelors',' HS-grad',' 11th',' Masters',' 9th',' Some-college',' Assoc-acdm',' Assoc-voc',' 7th-8th',' Doctorate',' Prof-school',' 5th-6th',' 10th',' 1st-4th',' Preschool',' 12th'}
@attribute Occupation {' Adm-clerical',' Exec-managerial',' Handlers-cleaners',' Prof-specialty',' Other-service',' Sales',' Craft-repair',' Transport-moving',' Farming-fishing',' Machine-op-inspct',' Tech-support',' ?',' Protective-serv',' Armed-Forces',' Priv-house-serv'}
@attribute Hours-per-week {1_40,40_41,41_51,51_99}
@attribute Income-bracket {' <=50K',' >50K'}

@data
' Private',' Assoc-acdm',' Adm-clerical',41_51,' <=50K'
' Private',' Assoc-voc',' Prof-specialty',40_41,' <=50K'
' Private',' HS-grad',' Transport-moving',40_41,' <=50K'
' Private',' HS-grad',' Craft-repair',40_41,' <=50K'
' Private',' Masters',' Exec-managerial',41_51,' >50K'
' Private',' HS-grad',' Tech-support',40_41,' <=50K'
' State-gov',' Bachelors',' Exec-managerial',40_41,' <=50K'
' Private',' Some-college',' Adm-clerical',1_40,' <=50K'
' ?',' HS-grad',' ?',1_40,' <=50K'
' ?',' Assoc-voc',' ?',1_40,' <=50K'
' Private',' Bachelors',' Sales',41_51,' >50K'
' Private',' HS-grad',' Machine-op-inspct',1_40,' <=50K'
' Private',' HS-grad',' Prof-specialty',40_41,' <=50K'
' Self-emp-inc',' HS-grad',' Exec-managerial',51_99,' <=50K'
' Private',' HS-grad',' Priv-house-serv',1_40,' <=50K'
' Federal-gov',' HS-grad',' Adm-clerical',40_41,' <=50K'
' Private',' Bachelors',' Exec-managerial',40_41,' >50K'
' Private',' Some-college',' Other-service',40_41,' <=50K'
' Private',' HS-grad',' Tech-support',40_41,' <=50K'
' Private',' Bachelors',' Other-service',1_40,' <=50K'
' Private',' Bachelors',' Prof-specialty',40_41,' >50K'
' Self-emp-not-inc',' Prof-school',' Prof-specialty',40_41,' <=50K'
' Private',' Bachelors',' Prof-specialty',40_41,' <=50K'
' Private',' Bachelors',' Other-service',1_40,' <=50K'
' Private',' Bachelors',' Adm-clerical',40_41,' <=50K'
' Self-emp-not-inc',' HS-grad',' Exec-managerial',40_41,' >50K'
' Private',' HS-grad',' Exec-managerial',40_41,' <=50K'
' State-gov',' HS-grad',' Other-service',40_41,' <=50K'
' Private',' 5th-6th',' Adm-clerical',1_40,' <=50K'
' State-gov',' Masters',' Prof-specialty',40_41,' >50K'
' Private',' Assoc-voc',' Adm-clerical',40_41,' >50K'
' Private',' Some-college',' Transport-moving',1_40,' <=50K'
' Local-gov',' Assoc-acdm',' Exec-managerial',40_41,' <=50K'
' Private',' Bachelors',' Sales',41_51,' >50K'
' ?',' Bachelors',' ?',1_40,' <=50K'
' Private',' Some-college',' Craft-repair',40_41,' <=50K'
' Self-emp-not-inc',' HS-grad',' Farming-fishing',51_99,' <=50K'
' Private',' HS-grad',' Exec-managerial',41_51,' <=50K'
' Private',' Assoc-voc',' Prof-specialty',41_51,' >50K'
' Private',' Some-college',' Priv-house-serv',40_41,' <=50K'
' State-gov',' Masters',' Prof-specialty',1_40,' <=50K'
' Private',' Some-college',' Exec-managerial',51_99,' >50K'
' Private',' Assoc-acdm',' Exec-managerial',40_41,' >50K'
' Private',' Some-college',' Other-service',1_40,' <=50K'
' Private',' HS-grad',' Protective-serv',41_51,' <=50K'
' Private',' HS-grad',' Other-service',1_40,' <=50K'
' State-gov',' Bachelors',' Adm-clerical',40_41,' <=50K'
' Private',' 12th',' Transport-moving',40_41,' <=50K'
' Private',' Some-college',' Transport-moving',40_41,' <=50K'
' Private',' Some-college',' Tech-support',40_41,' <=50K'
' Private',' Assoc-voc',' Tech-support',40_41,' <=50K'
' Private',' HS-grad',' Farming-fishing',41_51,' <=50K'
' Self-emp-inc',' Bachelors',' Sales',40_41,' >50K'
' Self-emp-not-inc',' HS-grad',' Farming-fishing',51_99,' <=50K'
' Private',' Assoc-voc',' Tech-support',40_41,' <=50K'
' Private',' HS-grad',' Other-service',40_41,' <=50K'
' Private',' 9th',' Machine-op-inspct',40_41,' <=50K'
' Self-emp-not-inc',' Doctorate',' Craft-repair',41_51,' <=50K'
' Private',' Some-college',' Other-service',40_41,' <=50K'
' Private',' Bachelors',' Prof-specialty',40_41,' >50K'
' Private',' 1st-4th',' Handlers-cleaners',40_41,' <=50K'
' ?',' Some-college',' ?',40_41,' <=50K'
' Private',' Masters',' Exec-managerial',41_51,' >50K'
' Private',' Some-college',' Other-service',1_40,' <=50K'
' Private',' HS-grad',' Handlers-cleaners',1_40,' <=50K'
' Private',' Prof-school',' Exec-managerial',40_41,' <=50K'
' Private',' Bachelors',' Prof-specialty',40_41,' <=50K'
' Local-gov',' Assoc-voc',' Protective-serv',41_51,' >50K'
' Private',' Some-college',' Sales',40_41,' >50K'
' Local-gov',' Some-college',' Adm-clerical',1_40,' <=50K'
' State-gov',' Masters',' Prof-specialty',40_41,' <=50K'
' Self-emp-inc',' Some-college',' Transport-moving',40_41,' <=50K'
' Self-emp-not-inc',' Prof-school',' Prof-specialty',51_99,' >50K'
' Self-emp-not-inc',' Bachelors',' Craft-repair',41_51,' <=50K'
' Private',' HS-grad',' Adm-clerical',40_41,' <=50K'
' Private',' HS-grad',' Other-service',1_40,' <=50K'
' Private',' Assoc-acdm',' Other-service',1_40,' <=50K'
' Private',' 12th',' Other-service',1_40,' <=50K'
' Private',' 9th',' Sales',1_40,' <=50K'
' Private',' HS-grad',' Craft-repair',40_41,' <=50K'
' Private',' HS-grad',' Transport-moving',40_41,' <=50K'
' Private',' HS-grad',' Machine-op-inspct',40_41,' <=50K'
' Private',' HS-grad',' Handlers-cleaners',40_41,' <=50K'
' Private',' 10th',' Other-service',1_40,' <=50K'
' Private',' HS-grad',' Prof-specialty',1_40,' <=50K'
' Private',' Assoc-acdm',' Machine-op-inspct',40_41,' <=50K'
' Private',' Bachelors',' Exec-managerial',40_41,' >50K'
' Self-emp-not-inc',' Assoc-voc',' Sales',51_99,' >50K'
' Private',' HS-grad',' Machine-op-inspct',40_41,' <=50K'
' Private',' Some-college',' Adm-clerical',40_41,' <=50K'
' Private',' Some-college',' Adm-clerical',40_41,' <=50K'
' Local-gov',' Masters',' Prof-specialty',41_51,' >50K'
' Local-gov',' Assoc-acdm',' Adm-clerical',40_41,' <=50K'
' Private',' Assoc-voc',' Handlers-cleaners',40_41,' <=50K'
' ?',' Some-college',' ?',40_41,' <=50K'
' State-gov',' Bachelors',' Prof-specialty',51_99,' <=50K'
' Private',' HS-grad',' Handlers-cleaners',40_41,' <=50K'
' Private',' Bachelors',' Other-service',40_41,' <=50K'
' Self-emp-inc',' Some-college',' Exec-managerial',40_41,' <=50K'
' Private',' HS-grad',' Other-service',1_40,' <=50K'
' Private',' Bachelors',' Tech-support',40_41,' >50K'
' Private',' Some-college',' Sales',40_41,' <=50K'
' Local-gov',' HS-grad',' Craft-repair',40_41,' >50K'
' Local-gov',' Bachelors',' Protective-serv',40_41,' >50K'
' State-gov',' HS-grad',' Machine-op-inspct',40_41,' <=50K'
' ?',' HS-grad',' ?',40_41,' <=50K'
' Private',' HS-grad',' Protective-serv',1_40,' <=50K'
' Private',' Some-college',' Exec-managerial',51_99,' <=50K'
' Private',' Some-college',' Sales',40_41,' <=50K'
' Private',' HS-grad',' Craft-repair',40_41,' <=50K'
' Private',' HS-grad',' Machine-op-inspct',41_51,' <=50K'
' Private',' Bachelors',' Exec-managerial',41_51,' <=50K'
' Private',' Bachelors',' Prof-specialty',40_41,' >50K'
' Self-emp-not-inc',' HS-grad',' Farming-fishing',51_99,' <=50K'
' Private',' Some-college',' Craft-repair',40_41,' <=50K'
' Private',' Assoc-voc',' Other-service',1_40,' <=50K'
' Federal-gov',' Masters',' Prof-specialty',40_41,' >50K'
' Private',' 11th',' Prof-specialty',41_51,' <=50K'
' Private',' HS-grad',' Transport-moving',40_41,' <=50K'
' Private',' HS-grad',' Machine-op-inspct',40_41,' <=50K'
' Private',' Some-college',' Craft-repair',40_41,' <=50K'
' Federal-gov',' Bachelors',' Tech-support',40_41,' <=50K'
' Private',' Some-college',' Sales',1_40,' <=50K'
' Federal-gov',' Bachelors',' Exec-managerial',40_41,' >50K'
' Private',' HS-grad',' Exec-managerial',1_40,' <=50K'
' Private',' 7th-8th',' Other-service',51_99,' <=50K'
' Private',' HS-grad',' Machine-op-inspct',40_41,' <=50K'
' ?',' Some-college',' ?',1_40,' <=50K'
' Local-gov',' HS-grad',' Craft-repair',40_41,' >50K'
' Private',' HS-grad',' Adm-clerical',40_41,' <=50K'
' Private',' 9th',' Transport-moving',40_41,' <=50K'
' Private',' HS-grad',' Sales',41_51,' <=50K'
' Private',' HS-grad',' Craft-repair',40_41,' <=50K'
' Private',' HS-grad',' Adm-clerical',40_41,' <=50K'
' Private',' Bachelors',' Other-service',40_41,' <=50K'
' Private',' Bachelors',' Prof-specialty',41_51,' >50K'
' Federal-gov',' Bachelors',' Exec-managerial',40_41,' <=50K'
' Self-emp-inc',' Assoc-voc',' Craft-repair',1_40,' <=50K'
' Local-gov',' Prof-school',' Prof-specialty',40_41,' <=50K'
' Self-emp-not-inc',' HS-grad',' Farming-fishing',40_41,' >50K'
' Private',' HS-grad',' Machine-op-inspct',40_41,' <=50K'
' Private',' Some-college',' Sales',1_40,' <=50K'
' Self-emp-not-inc',' Assoc-voc',' Adm-clerical',40_41,' <=50K'
' Self-emp-not-inc',' HS-grad',' Farming-fishing',40_41,' >50K'
' Private',' HS-grad',' Adm-clerical',40_41,' <=50K'
' Private',' HS-grad',' Other-service',40_41,' <=50K'
' Private',' Assoc-acdm',' Sales',51_99,' >50K'
' Private',' Some-college',' Adm-clerical',41_51,' <=50K'
' Private',' Some-college',' Craft-repair',40_41,' <=50K'
' Private',' HS-grad',' Other-service',40_41,' <=50K'
' Private',' Bachelors',' Craft-repair',40_41,' <=50K'
' Private',' Bachelors',' Prof-specialty',40_41,' <=50K'
' Private',' Some-college',' Tech-support',40_41,' <=50K'
' Private',' HS-grad',' Other-service',1_40,' <=50K'
' Private',' HS-grad',' Other-service',1_40,' <=50K'
' Local-gov',' HS-grad',' Other-service',40_41,' <=50K'
' Private',' Bachelors',' Exec-managerial',40_41,' >50K'
' Self-emp-not-inc',' HS-grad',' Other-service',40_41,' <=50K'
' Private',' Bachelors',' Exec-managerial',40_41,' <=50K'
' Federal-gov',' Assoc-acdm',' Protective-serv',40_41,' <=50K'
' Private',' HS-grad',' Sales',41_51,' <=50K'
' State-gov',' Bachelors',' Adm-clerical',1_40,' <=50K'
' Private',' Some-college',' Adm-clerical',40_41,' <=50K'
' Self-emp-not-inc',' HS-grad',' Craft-repair',51_99,' <=50K'
' Private',' HS-grad',' Adm-clerical',40_41,' <=50K'
' Local-gov',' 7th-8th',' Other-service',1_40,' <=50K'
' Local-gov',' Some-college',' Craft-repair',40_41,' >50K'
' Private',' Some-college',' Transport-moving',41_51,' <=50K'
' Self-emp-inc',' HS-grad',' Exec-managerial',40_41,' <=50K'
' ?',' HS-grad',' ?',40_41,' <=50K'
' Private',' 10th',' Handlers-cleaners',40_41,' <=50K'
' Local-gov',' Masters',' Prof-specialty',40_41,' <=50K'
' Self-emp-not-inc',' 7th-8th',' Transport-moving',40_41,' >50K'
' Private',' HS-grad',' Craft-repair',40_41,' <=50K'
' State-gov',' 11th',' Other-service',1_40,' <=50K'
' Private',' HS-grad',' Machine-op-inspct',40_41,' >50K'
' Private',' Prof-school',' Sales',51_99,' >50K'
' Private',' 10th',' Machine-op-inspct',41_51,' <=50K'
' Private',' Bachelors',' Sales',1_40,' <=50K'
' Federal-gov',' Prof-school',' Prof-specialty',51_99,' >50K'
' Federal-gov',' Some-college',' Exec-managerial',40_41,' >50K'
' Private',' Bachelors',' Exec-managerial',41_51,' <=50K'
' Private',' Assoc-acdm',' Prof-specialty',41_51,' <=50K'
' Private',' Some-college',' Sales',51_99,' <=50K'
' Private',' Some-college',' Sales',1_40,' <=50K'
' Private',' Bachelors',' Prof-specialty',1_40,' <=50K'
' Private',' Bachelors',' Exec-managerial',40_41,' <=50K'
' Private',' HS-grad',' Handlers-cleaners',40_41,' <=50K'
' State-gov',' Some-college',' Prof-specialty',1_40,' <=50K'
' Private',' HS-grad',' Adm-clerical',1_40,' <=50K'
' Private',' Some-college',' Tech-support',51_99,' >50K'
' Private',' Masters',' Sales',40_41,' <=50K'
' Private',' Some-college',' Sales',41_51,' <=50K'
' Private',' HS-grad',' Machine-op-inspct',40_41,' <=50K'
' Self-emp-not-inc',' HS-grad',' Craft-repair',41_51,' >50K'
' Private',' 11th',' Craft-repair',40_41,' >50K'
' Private',' 10th',' Transport-moving',51_99,' >50K'
' Private',' HS-grad',' Machine-op-inspct',40_41,' <=50K'
' ?',' HS-grad',' ?',40_41,' <=50K'
' Private',' Some-college',' Adm-clerical',1_40,' <=50K'
' Private',' HS-grad',' Craft-repair',41_51,' <=50K'
' Private',' HS-grad',' Adm-clerical',40_41,' <=50K'
' Private',' Some-college',' Other-service',1_40,' <=50K'
' State-gov',' Bachelors',' Tech-support',1_40,' <=50K'
' Private',' HS-grad',' Sales',40_41,' <=50K'
' ?',' Some-college',' ?',41_51,' >50K'
' Private',' Some-college',' Machine-op-inspct',40_41,' <=50K'
' Self-emp-not-inc',' 11th',' Machine-op-inspct',40_41,' <=50K'
' Private',' HS-grad',' Craft-repair',40_41,' >50K'
' Private',' Assoc-voc',' Tech-support',40_41,' <=50K'
' Private',' Some-college',' Exec-managerial',40_41,' <=50K'
' Private',' HS-grad',' Priv-house-serv',51_99,' <=50K'
' Local-gov',' Assoc-voc',' Prof-specialty',40_41,' <=50K'
' Self-emp-not-inc',' Some-college',' Craft-repair',51_99,' <=50K'
' Private',' Bachelors',' Adm-clerical',1_40,' <=50K'
' Private',' Assoc-voc',' Sales',40_41,' >50K'
' Private',' HS-grad',' Protective-serv',51_99,' <=50K'
' Private',' 10th',' Machine-op-inspct',40_41,' <=50K'
' Self-emp-not-inc',' Bachelors',' Other-service',41_51,' >50K'
' Private',' 10th',' Other-service',1_40,' <=50K'
' Private',' Some-college',' Sales',1_40,' <=50K'
' Private',' HS-grad',' Craft-repair',41_51,' <=50K'
' Self-emp-not-inc',' HS-grad',' Craft-repair',40_41,' <=50K'
' Private',' Some-college',' Exec-managerial',51_99,' <=50K'
' Private',' 10th',' Farming-fishing',41_51,' <=50K'
' State-gov',' Some-college',' Adm-clerical',1_40,' <=50K'
' Federal-gov',' Bachelors',' Adm-clerical',40_41,' <=50K'
' Private',' Some-college',' Tech-support',40_41,' >50K'
' Self-emp-not-inc',' HS-grad',' Transport-moving',40_41,' >50K'
' Private',' Bachelors',' Sales',41_51,' >50K'
' Private',' HS-grad',' Craft-repair',40_41,' >50K'
' Private',' Some-college',' Exec-managerial',51_99,' >50K'
' Private',' Some-college',' Adm-clerical',41_51,' <=50K'
' State-gov',' Masters',' Prof-specialty',51_99,' <=50K'
' Private',' 10th',' Sales',40_41,' <=50K'
' ?',' Assoc-voc',' ?',40_41,' <=50K'
' Self-emp-not-inc',' Assoc-voc',' Farming-fishing',51_99,' >50K'
' Private',' Some-college',' Transport-moving',40_41,' <=50K'
' Private',' Bachelors',' Prof-specialty',40_41,' <=50K'
' Private',' HS-grad',' Transport-moving',40_41,' <=50K'
' Private',' HS-grad',' Machine-op-inspct',1_40,' <=50K'
' Private',' Masters',' Prof-specialty',41_51,' <=50K'
' Private',' Bachelors',' Craft-repair',1_40,' <=50K'
' Private',' Some-college',' Craft-repair',40_41,' <=50K'
' Local-gov',' Bachelors',' Prof-specialty',1_40,' >50K'
' Private',' HS-grad',' Adm-clerical',1_40,' <=50K'
' Private',' HS-grad',' Handlers-cleaners',40_41,' <=50K'
' Private',' Some-college',' Other-service',40_41,' <=50K'
' Private',' 10th',' Craft-repair',40_41,' >50K'
' Private',' Bachelors',' Craft-repair',1_40,' <=50K'
' Private',' Assoc-voc',' Prof-specialty',1_40,' >50K'
' Private',' Some-college',' Craft-repair',40_41,' <=50K'
' Private',' Some-college',' Craft-repair',40_41,' <=50K'
' Local-gov',' HS-grad',' Craft-repair',40_41,' >50K'
' ?',' HS-grad',' ?',40_41,' <=50K'
' Private',' HS-grad',' Handlers-cleaners',41_51,' <=50K'
' ?',' Prof-school',' ?',1_40,' >50K'
' Private',' HS-grad',' Other-service',40_41,' <=50K'
' Private',' Masters',' Prof-specialty',1_40,' >50K'
' Self-emp-not-inc',' Some-college',' Farming-fishing',40_41,' <=50K'
' Self-emp-not-inc',' Masters',' Farming-fishing',40_41,' >50K'
' Local-gov',' Masters',' Exec-managerial',40_41,' >50K'
' State-gov',' HS-grad',' Craft-repair',40_41,' <=50K'
' Local-gov',' HS-grad',' Craft-repair',40_41,' <=50K'
' Private',' Bachelors',' Exec-managerial',40_41,' <=50K'
' Private',' Some-college',' Prof-specialty',40_41,' <=50K'
' Private',' Some-college',' Other-service',51_99,' <=50K'
' Local-gov',' Masters',' Prof-specialty',51_99,' <=50K'
' Private',' Assoc-voc',' Other-service',40_41,' <=50K'
' Private',' Bachelors',' Exec-managerial',40_41,' <=50K'
' Local-gov',' Bachelors',' Prof-specialty',1_40,' <=50K'
' Private',' Some-college',' Sales',1_40,' <=50K'
' Self-emp-inc',' Prof-school',' Prof-specialty',51_99,' >50K'
' Self-emp-not-inc',' 10th',' Farming-fishing',51_99,' <=50K'
' Private',' HS-grad',' Exec-managerial',41_51,' <=50K'
' Private',' Assoc-voc',' Prof-specialty',1_40,' <=50K'
' Private',' HS-grad',' Exec-managerial',40_41,' <=50K'
' Private',' HS-grad',' Sales',1_40,' <=50K'
' Private',' HS-grad',' Machine-op-inspct',40_41,' <=50K'
' State-gov',' 9th',' Craft-repair',40_41,' <=50K'
' Self-emp-not-inc',' Bachelors',' Exec-managerial',41_51,' <=50K'
' Private',' Some-college',' Exec-managerial',40_41,' <=50K'
' Private',' HS-grad',' Exec-managerial',40_41,' <=50K'
' State-gov',' Doctorate',' Prof-specialty',41_51,' >50K'
' Private',' Bachelors',' Transport-moving',40_41,' >50K'
' Private',' 12th',' Other-service',1_40,' <=50K'
' Self-emp-inc',' 10th',' Sales',41_51,' <=50K'
' Local-gov',' Bachelors',' Prof-specialty',41_51,' >50K'
' Private',' HS-grad',' Machine-op-inspct',40_41,' <=50K'
' Private',' Assoc-voc',' Adm-clerical',1_40,' <=50K'
' Private',' HS-grad',' Transport-moving',40_41,' <=50K'
' State-gov',' HS-grad',' Transport-moving',1_40,' >50K'
' Private',' HS-grad',' Prof-specialty',40_41,' <=50K'
' Private',' Some-college',' Exec-managerial',40_41,' <=50K'
' Private',' Some-college',' Other-service',40_41,' <=50K'
' Private',' Masters',' Prof-specialty',1_40,' <=50K'
' Private',' Some-college',' Other-service',40_41,' <=50K'
' Private',' Assoc-acdm',' Machine-op-inspct',40_41,' <=50K'
' Private',' Some-college',' Machine-op-inspct',40_41,' <=50K'
' State-gov',' Assoc-acdm',' Adm-clerical',1_40,' >50K'
' Private',' Some-college',' Other-service',1_40,' <=50K'
' Self-emp-not-inc',' HS-grad',' Farming-fishing',51_99,' <=50K'
' Private',' Bachelors',' Exec-managerial',41_51,' >50K'
' Self-emp-inc',' Bachelors',' Sales',41_51,' >50K'
' Private',' Masters',' Exec-managerial',51_99,' >50K'
' State-gov',' Masters',' Exec-managerial',1_40,' <=50K'
' Local-gov',' HS-grad',' Handlers-cleaners',41_51,' <=50K'
' Federal-gov',' HS-grad',' Transport-moving',51_99,' <=50K'
' Private',' Some-college',' Exec-managerial',40_41,' >50K'
' Private',' HS-grad',' Adm-clerical',40_41,' <=50K'
' Private',' Some-college',' Machine-op-inspct',40_41,' <=50K'
' ?',' Some-college',' ?',1_40,' <=50K'
' Private',' Some-college',' Tech-support',40_41,' <=50K'
' Self-emp-not-inc',' HS-grad',' Sales',51_99,' >50K'
' Local-gov',' Some-college',' Adm-clerical',1_40,' <=50K'
' Private',' 1st-4th',' Handlers-cleaners',40_41,' <=50K'
' Private',' HS-grad',' Craft-repair',40_41,' <=50K'
' Local-gov',' Bachelors',' Prof-specialty',40_41,' >50K'
' Private',' Bachelors',' Prof-specialty',41_51,' <=50K'
' ?',' Some-college',' ?',1_40,' <=50K'
' Private',' HS-grad',' Machine-op-inspct',41_51,' >50K'
' Private',' HS-grad',' Transport-moving',51_99,' <=50K'
' Private',' Bachelors',' Exec-managerial',41_51,' >50K'
' State-gov',' Assoc-voc',' Tech-support',41_51,' >50K'
' Private',' HS-grad',' Machine-op-inspct',40_41,' <=50K'
' Private',' Some-college',' Handlers-cleaners',40_41,' <=50K'
' ?',' 7th-8th',' ?',1_40,' <=50K'
' State-gov',' Some-college',' Protective-serv',51_99,' <=50K'
' Local-gov',' Masters',' Prof-specialty',40_41,' <=50K'
' Self-emp-not-inc',' HS-grad',' Exec-managerial',41_51,' <=50K'
' Federal-gov',' Bachelors',' Protective-serv',41_51,' >50K'
' ?',' Some-college',' ?',40_41,' <=50K'
' Local-gov',' Masters',' Prof-specialty',40_41,' <=50K'
' Private',' HS-grad',' Other-service',40_41,' <=50K'
' Private',' HS-grad',' Other-service',40_41,' <=50K'
' State-gov',' HS-grad',' Prof-specialty',40_41,' >50K'
' Private',' HS-grad',' Sales',40_41,' >50K'
' Private',' Preschool',' Other-service',1_40,' <=50K'
' Self-emp-inc',' HS-grad',' Exec-managerial',51_99,' <=50K'
' Private',' 9th',' Machine-op-inspct',40_41,' <=50K'
' Private',' Masters',' Prof-specialty',1_40,' >50K'
' Private',' Some-college',' Sales',40_41,' <=50K'
' Private',' Doctorate',' Prof-specialty',51_99,' <=50K'
' Private',' Bachelors',' Exec-managerial',41_51,' >50K'
' ?',' Assoc-acdm',' ?',1_40,' <=50K'
' Private',' Assoc-acdm',' Transport-moving',41_51,' <=50K'
' Private',' Assoc-voc',' Handlers-cleaners',41_51,' <=50K'
' Private',' HS-grad',' Craft-repair',41_51,' <=50K'
' Self-emp-not-inc',' HS-grad',' Craft-repair',1_40,' <=50K'
' Private',' Some-college',' Farming-fishing',51_99,' <=50K'
' ?',' Some-college',' ?',1_40,' <=50K'
' Private',' HS-grad',' Prof-specialty',40_41,' <=50K'
' Private',' HS-grad',' Adm-clerical',40_41,' >50K'
' Private',' 10th',' Machine-op-inspct',40_41,' >50K'
' Private',' HS-grad',' Craft-repair',40_41,' >50K'
' Private',' HS-grad',' Craft-repair',51_99,' <=50K'
' Private',' HS-grad',' Tech-support',40_41,' <=50K'
' ?',' 7th-8th',' ?',40_41,' >50K'
' Private',' Bachelors',' Transport-moving',51_99,' >50K'
' Private',' HS-grad',' Craft-repair',40_41,' <=50K'
' Private',' Some-college',' Other-service',1_40,' <=50K'
' Private',' Assoc-acdm',' Other-service',40_41,' <=50K'
' Local-gov',' Assoc-voc',' Protective-serv',40_41,' >50K'
' Private',' HS-grad',' Sales',1_40,' >50K'
' Private',' Some-college',' Handlers-cleaners',1_40,' <=50K'
' Local-gov',' Bachelors',' Exec-managerial',1_40,' <=50K'
' Private',' HS-grad',' Other-service',40_41,' <=50K'
' ?',' 11th',' ?',40_41,' <=50K'
' Private',' Prof-school',' Prof-specialty',51_99,' >50K'
' Local-gov',' Bachelors',' Prof-specialty',41_51,' <=50K'
' Local-gov',' Bachelors',' Prof-specialty',40_41,' <=50K'
' Private',' Doctorate',' Prof-specialty',40_41,' >50K'
' Federal-gov',' HS-grad',' Tech-support',40_41,' <=50K'
' Private',' 10th',' Protective-serv',41_51,' <=50K'
' Private',' Assoc-acdm',' Adm-clerical',40_41,' <=50K'
' Private',' HS-grad',' Adm-clerical',40_41,' <=50K'
' Private',' HS-grad',' Exec-managerial',51_99,' >50K'
' Private',' Some-college',' Other-service',40_41,' <=50K'
' Private',' HS-grad',' Exec-managerial',41_51,' >50K'
' Private',' Some-college',' Machine-op-inspct',40_41,' <=50K'
' State-gov',' 7th-8th',' Handlers-cleaners',1_40,' <=50K'
' Private',' HS-grad',' Other-service',1_40,' <=50K'
' Private',' Prof-school',' Prof-specialty',51_99,' <=50K'
' Self-emp-not-inc',' 7th-8th',' Craft-repair',40_41,' <=50K'
' ?',' HS-grad',' ?',1_40,' <=50K'
' Private',' HS-grad',' Protective-serv',51_99,' <=50K'
' Private',' HS-grad',' Sales',40_41,' >50K'
' Self-emp-not-inc',' HS-grad',' Sales',51_99,' >50K'
' Private',' Bachelors',' Exec-managerial',41_51,' >50K'
' Self-emp-inc',' HS-grad',' Exec-managerial',41_51,' >50K'
' Private',' Some-college',' Other-service',1_40,' <=50K'
' Self-emp-not-inc',' HS-grad',' Sales',51_99,' >50K'
' Self-emp-inc',' Bachelors',' Exec-managerial',41_51,' >50K'
' Private',' Bachelors',' Exec-managerial',40_41,' <=50K'
' State-gov',' Masters',' Prof-specialty',40_41,' <=50K'
' Private',' Bachelors',' Sales',40_41,' >50K'
' Local-gov',' Bachelors',' Prof-specialty',1_40,' <=50K'
' Private',' Some-college',' Prof-specialty',40_41,' <=50K'
' Local-gov',' Bachelors',' Protective-serv',40_41,' >50K'
' State-gov',' Bachelors',' Prof-specialty',40_41,' <=50K'
' Private',' 11th',' Transport-moving',1_40,' <=50K'
' Private',' 9th',' Handlers-cleaners',40_41,' <=50K'
' State-gov',' HS-grad',' Protective-serv',40_41,' <=50K'
' Local-gov',' Some-college',' Protective-serv',51_99,' <=50K'
' Private',' HS-grad',' Adm-clerical',40_41,' <=50K'
' Private',' Assoc-acdm',' Adm-clerical',41_51,' <=50K'
' Private',' Some-college',' Handlers-cleaners',1_40,' <=50K'
' Private',' Some-college',' Other-service',40_41,' <=50K'
' Private',' Some-college',' Priv-house-serv',1_40,' <=50K'
' ?',' Bachelors',' ?',1_40,' <=50K'
' Private',' HS-grad',' Machine-op-inspct',40_41,' <=50K'
' Self-emp-not-inc',' Bachelors',' Craft-repair',1_40,' <=50K'
' Private',' Masters',' Tech-support',1_40,' <=50K'
' Private',' Some-college',' Protective-serv',40_41,' <=50K'
' Self-emp-not-inc',' HS-grad',' Exec-managerial',40_41,' <=50K'
' ?',' HS-grad',' ?',1_40,' <=50K'
' Private',' HS-grad',' Sales',51_99,' >50K'
' Private',' 10th',' Other-service',1_40,' <=50K'
' Private',' HS-grad',' Adm-clerical',40_41,' >50K'
' Private',' Bachelors',' Exec-managerial',51_99,' >50K'
' Private',' Bachelors',' Prof-specialty',40_41,' <=50K'
' Private',' Some-college',' Handlers-cleaners',40_41,' <=50K'
' Private',' 10th',' Craft-repair',41_51,' <=50K'
' Private',' Some-college',' Adm-clerical',41_51,' <=50K'
' Private',' Masters',' Exec-managerial',51_99,' >50K'
' Private',' HS-grad',' Craft-repair',41_51,' <=50K'
' Self-emp-not-inc',' Bachelors',' Craft-repair',40_41,' >50K'
' Private',' HS-grad',' Machine-op-inspct',40_41,' <=50K'
' Self-emp-not-inc',' Assoc-acdm',' Farming-fishing',40_41,' <=50K'
' Private',' 11th',' Craft-repair',40_41,' <=50K'
' Private',' HS-grad',' Craft-repair',40_41,' <=50K'
' Private',' HS-grad',' Sales',40_41,' >50K'
' Private',' HS-grad',' Machine-op-inspct',40_41,' <=50K'
' Private',' 12th',' Other-service',1_40,' <=50K'
' Federal-gov',' HS-grad',' Adm-clerical',1_40,' >50K'
' Private',' HS-grad',' Adm-clerical',40_41,' <=50K'
' Private',' HS-grad',' Craft-repair',40_41,' >50K'
' Private',' Some-college',' Sales',40_41,' <=50K'
